"drug_concept_name","drug_concept_id","UCLH","UHB"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",45983842,"<=10","70"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",45998756,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46001349,"<=10","15"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46005134,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46009769,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46017087,"<=10","344"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46030045,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46030190,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46034752,"<=10","29"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46045787,"<=10","2079"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46045819,"<=10","20"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46050162,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46060274,"<=10","88"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46076279,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46258029,"<=10","42"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46277700,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46277702,"<=10","17"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46277775,"<=10","<=10"
"Retired SNOMED UK Drug extension concept, do not use, use concept indicated by the CONCEPT_RELATIONSHIP table, if any",46277779,"<=10","15"
"Rhophylac 1,500units/2ml solution for injection pre-filled syringes",21313382,"<=10","<=10"
"Ribavirin",21197750,"<=10","146"
"Ribavirin 200mg capsules",21199565,"74","<=10"
"Ribavirin 200mg tablets",21236580,"<=10","<=10"
"Riboflavin 100mg capsules",21310870,"<=10","<=10"
"Riboflavin 50mg capsules",21311291,"13","<=10"
"Riboflavin 50mg tablets",21291507,"<=10","<=10"
"Rifabutin 150mg capsules",21255367,"73","<=10"
"Rifampicin",21197814,"<=10","2656"
"Rifampicin 100mg/5ml oral suspension",36817557,"54","<=10"
"Rifampicin 150mg / Isoniazid 100mg tablets",21199935,"42","<=10"
"Rifampicin 150mg capsules",21199944,"431","<=10"
"Rifampicin 300mg / Isoniazid 150mg tablets",21237114,"370","80"
"Rifampicin 300mg capsules",21181101,"236","<=10"
"Rifampicin 600mg powder and solvent for solution for infusion vials",36817558,"127","<=10"
"Rifaximin",21272371,"<=10","5147"
"Rifaximin 200mg tablets",21291903,"33","<=10"
"Rifaximin 550mg tablets",21235556,"1327","<=10"
"Rilpivirine 25mg tablets",21272840,"39","<=10"
"Riluzole",21234974,"<=10","178"
"Riluzole 25mg/5ml oral suspension sugar free",21253930,"282","<=10"
"Riluzole 50mg tablets",21255461,"230","<=10"
"Risedronate sodium 35mg tablets",21292682,"<=10","<=10"
"Risperidone",21234978,"<=10","5938"
"Risperidone 1mg orodispersible tablets sugar free",21311329,"56","<=10"
"Risperidone 1mg tablets",21274327,"718","<=10"
"Risperidone 1mg/ml oral solution sugar free",21218649,"274","<=10"
"Risperidone 2mg orodispersible tablets sugar free",21292673,"16","<=10"
"Risperidone 2mg tablets",21274328,"307","<=10"
"Risperidone 37.5mg powder and solvent for suspension for injection vials",21273983,"<=10","<=10"
"Risperidone 3mg orodispersible tablets sugar free",21273425,"<=10","<=10"
"Risperidone 3mg tablets",21292990,"52","<=10"
"Risperidone 4mg tablets",21311679,"73","<=10"
"Risperidone 500microgram orodispersible tablets sugar free",21310844,"138","<=10"
"Risperidone 500microgram tablets",21255711,"924","<=10"
"Risperidone 50mg powder and solvent for suspension for injection vials",21292650,"<=10","<=10"
"Ritonavir 100mg oral powder sachets sugar free",40690265,"92","<=10"
"Ritonavir 100mg tablets",21235683,"186","<=10"
"Rituximab",21290806,"<=10","683"
"Rituximab 1.4g/11.7ml solution for injection vials",21198245,"<=10","<=10"
"Rituximab 100mg/10ml solution for infusion vials",36817566,"345","<=10"
"Rituximab 500mg/50ml solution for infusion vials",36817567,"640","<=10"
"Rivaroxaban",21309708,"<=10","5501"
"Rivaroxaban 10mg tablets",21235799,"433","<=10"
"Rivaroxaban 15mg tablets",21198433,"1600","<=10"
"Rivaroxaban 2.5mg tablets",21235413,"41","<=10"
"Rivaroxaban 20mg tablets",21235588,"2615","<=10"
"Rivastigmine",21234979,"<=10","1308"
"Rivastigmine 1.5mg capsules",21292736,"291","<=10"
"Rivastigmine 13.3mg/24hours transdermal patches",21217040,"29","<=10"
"Rivastigmine 3mg capsules",21311402,"258","<=10"
"Rivastigmine 4.5mg capsules",21180821,"104","<=10"
"Rivastigmine 4.6mg/24hours transdermal patches",21198837,"236","<=10"
"Rivastigmine 6mg capsules",21199675,"84","<=10"
"Rivastigmine 9.5mg/24hours transdermal patches",21273229,"348","<=10"
"Rixathon 100mg/10ml concentrate for solution for infusion vials",40690769,"418","<=10"
"Rixathon 500mg/50ml concentrate for solution for infusion vials",40690767,"558","<=10"
"Rizatriptan",21216450,"<=10","<=10"
"Rizatriptan-containing product",4031770,"<=10","<=10"
"Rizatriptan 10mg orodispersible tablets sugar free",21235463,"<=10","<=10"
"Rizatriptan 10mg tablets",21311669,"<=10","<=10"
"Rizatriptan 5mg tablets",21311668,"<=10","<=10"
"Rocuronium",21216556,"<=10","25964"
"Rocuronium-containing product",4029848,"<=10","5064"
"Rocuronium bromide 100mg/10ml solution for injection vials",36817581,"89","<=10"
"Rocuronium bromide 50mg/5ml solution for injection ampoules",40690232,"18904","<=10"
"Roflumilast",21291027,"<=10","17"
"Romiplostim",21253750,"<=10","42"
"Romiplostim 250microgram powder for solution for injection vials",21235713,"38","<=10"
"Ropinirole",21234980,"<=10","905"
"Ropinirole 1mg tablets",21237124,"169","<=10"
"Ropinirole 250microgram tablets",21237123,"83","<=10"
"Ropinirole 2mg modified-release tablets",21235833,"148","<=10"
"Ropinirole 2mg tablets",21292986,"173","<=10"
"Ropinirole 4mg modified-release tablets",21273048,"231","<=10"
"Ropinirole 500microgram tablets",21274044,"30","<=10"
"Ropinirole 6mg modified-release tablets",21291230,"<=10","<=10"
"Ropinirole 8mg modified-release tablets",21179809,"145","<=10"
"Rosuvastatin 10mg tablets",21236794,"679","<=10"
"Rosuvastatin 20mg tablets",21180752,"316","<=10"
"Rosuvastatin 40mg tablets",21311308,"17","<=10"
"Rosuvastatin 5mg tablets",21273487,"479","<=10"
"Rotigotine",21235115,"<=10","879"
"Rotigotine 1mg/24hours transdermal patches",21310241,"<=10","<=10"
"Rotigotine 2mg/24hours transdermal patches",36817616,"85","<=10"
"Rotigotine 4mg/24hours transdermal patches",36817617,"107","<=10"
"Rotigotine 6mg/24hours transdermal patches",36817618,"46","<=10"
"Rotigotine 8mg/24hours transdermal patches",21217786,"134","<=10"
"Rucaparib 250mg tablets",36817629,"12","<=10"
"Rucaparib 300mg tablets",36817631,"<=10","<=10"
"Rufinamide",21216656,"<=10","33"
"Rufinamide 200mg tablets",21273103,"20","<=10"
"Rufinamide 400mg tablets",21310428,"<=10","<=10"
"Rufinamide 40mg/ml oral suspension sugar free",21217114,"<=10","<=10"
"Ruxolitinib",21235189,"<=10","307"
"Ruxolitinib 10mg tablets",21216895,"454","<=10"
"Ruxolitinib 15mg tablets",21291398,"35","<=10"
"Ruxolitinib 20mg tablets",21198369,"<=10","<=10"
"Ruxolitinib 5mg tablets",21198370,"681","<=10"
"Sacubitril 24mg / Valsartan 26mg tablets",21309900,"95","816"
"Sacubitril 49mg / Valsartan 51mg tablets",21272578,"21","289"
"Sacubitril 97mg / Valsartan 103mg tablets",21309901,"13","230"
"Safinamide 50mg tablets",40689952,"<=10","<=10"
"Salbutamol",21290853,"<=10","75595"
"Salbutamol 100micrograms/actuation breath actuated inhaler CFC free",21236958,"727","<=10"
"Salbutamol 100micrograms/actuation inhaler CFC free",21237171,"3380","<=10"
"Salbutamol 100micrograms/dose dry powder inhaler",21310830,"<=10","<=10"
"Salbutamol 1mg/ml nebuliser liquid 2.5ml unit dose vials",21274114,"32228","<=10"
"Salbutamol 200micrograms/actuation dry powder inhaler",21180897,"106","<=10"
"Salbutamol 2mg tablets",21218647,"<=10","<=10"
"Salbutamol 2mg/5ml oral solution sugar free",21255614,"<=10","<=10"
"Salbutamol 2mg/ml nebuliser liquid 2.5ml unit dose vials",21180895,"12298","<=10"
"Salbutamol 4mg tablets",21311676,"<=10","<=10"
"Salbutamol 5mg/5ml solution for injection ampoules",21274325,"<=10","<=10"
"Salicylic acid",21290851,"<=10","472"
"Salicylic acid + Betamethasone",21309561,"<=10","60"
"Salicylic acid 26% solution",21218634,"15","<=10"
"Saliva replacement liquid",21327650,"<=10","1391"
"Saliveze mouth spray",21450149,"<=10","22"
"Salmeterol",21197790,"<=10","872"
"Salmeterol 25micrograms/dose inhaler CFC free",21310787,"846","<=10"
"Salmeterol 50micrograms/actuation dry powder inhaler",21255487,"200","<=10"
"Sando-K effervescent tablets",21312573,"<=10","50451"
"Saxagliptin",21197977,"<=10","46"
"Saxagliptin 2.5mg / Metformin 1g tablets",21291382,"<=10","<=10"
"Saxagliptin 2.5mg tablets",21310182,"63","<=10"
"Saxagliptin 5mg / Dapagliflozin 10mg tablets",40689923,"<=10","<=10"
"Saxagliptin 5mg tablets",21217247,"46","<=10"
"Sea water nasal spray",21337729,"<=10","11"
"Selegiline",21272202,"<=10","17"
"Selegiline 5mg tablets",21292905,"47","<=10"
"Selenium",21253581,"<=10","430"
"Selenium 100micrograms/2ml solution for injection ampoules",21236310,"62","<=10"
"Selenium 200microgram tablets",21255146,"11","<=10"
"Senna 7.5mg tablets",21199743,"36856","<=10"
"Sennosides",21216018,"<=10","98311"
"Sennosides 7.5mg/5ml oral solution sugar free",21199112,"10763","<=10"
"Seravit Paediatric powder unflavoured",21399007,"<=10","<=10"
"Sereflo 25micrograms/dose / 250micrograms/dose inhaler",40689777,"<=10","<=10"
"Sertraline",21179004,"<=10","19183"
"Sertraline 100mg tablets",21274367,"3273","<=10"
"Sertraline 50mg tablets",21255758,"5189","<=10"
"Sertraline 50mg/5ml oral solution",36817684,"<=10","<=10"
"Sertraline 50mg/5ml oral suspension",21254969,"<=10","<=10"
"Sevelamer",21253600,"<=10","7818"
"Sevelamer 800mg tablets",21272894,"258","<=10"
"Sevoflurane",21255225,"<=10","<=10"
"Sildenafil",21309584,"<=10","1697"
"Sildenafil 100mg tablets",21181067,"<=10","<=10"
"Sildenafil 10mg/12.5ml solution for injection vials",21310176,"60","<=10"
"Sildenafil 10mg/ml oral suspension sugar free",21217059,"143","<=10"
"Sildenafil 20mg tablets",21217781,"2232","<=10"
"Sildenafil 25mg tablets",21274287,"280","<=10"
"Sildenafil 50mg tablets",21292953,"134","<=10"
"Silver nitrate",21235013,"<=10","<=10"
"Silver nitrate 75% caustic applicators",21291571,"30","<=10"
"Simbrinza 10mg/ml / 2mg/ml eye drops",21316601,"<=10","195"
"Simeticone",21178933,"<=10","28"
"Simeticone 100mg capsules",21255385,"<=10","<=10"
"Simeticone 40mg/ml oral suspension sugar free",21218537,"<=10","<=10"
"Simple eye ointment",36817698,"<=10","33"
"Simple linctus",36817699,"4862","4599"
"Simple linctus sugar free",36817702,"1344","<=10"
"Simvastatin",21234969,"<=10","24074"
"Simvastatin 10mg tablets",21255725,"536","<=10"
"Simvastatin 20mg tablets",21311696,"4543","<=10"
"Simvastatin 20mg/5ml oral suspension sugar free",21179675,"<=10","<=10"
"Simvastatin 40mg tablets",21181123,"2882","<=10"
"Simvastatin 40mg/5ml oral suspension sugar free",21310223,"<=10","<=10"
"Sirolimus",21290801,"<=10","103"
"Sirolimus 1mg tablets",21180765,"70","<=10"
"Sirolimus 1mg/ml oral solution",21255364,"32","<=10"
"Sirolimus 2mg tablets",21292579,"17","<=10"
"Sirolimus 500microgram tablets",21198488,"24","<=10"
"Sitagliptin",21197947,"<=10","3082"
"Sitagliptin 100mg tablets",21236221,"2840","<=10"
"Sitagliptin 25mg tablets",21272826,"1763","<=10"
"Sitagliptin 50mg tablets",21310115,"<=10","<=10"
"Slow Sodium 600mg tablets",21312357,"<=10","1146"
"Sodium alginate + Potassium bicarbonate",21290903,"<=10","22"
"Sodium alginate 225mg/dose / Magnesium alginate 87.5mg/dose oral powder sachets sugar free",36817705,"<=10","<=10"
"Sodium alginate 500mg / Potassium bicarbonate 100mg chewable tablets sugar free",21236326,"<=10","<=10"
"Sodium benzoate-containing product",4162665,"<=10","93"
"Sodium benzoate 1g/5ml solution for infusion ampoules",21235817,"113","<=10"
"Sodium benzoate 500mg tablets",21254199,"19","<=10"
"Sodium benzoate 500mg/5ml oral solution",21273122,"<=10","<=10"
"Sodium bicarbonate",21178398,"<=10","43"
"Sodium bicarbonate",21197754,"<=10","20401"
"Sodium bicarbonate",21292628,"260","<=10"
"Sodium bicarbonate-containing product",4238987,"<=10","<=10"
"Sodium bicarbonate 1.26% infusion 500ml polyethylene bottles",21218166,"548","<=10"
"Sodium bicarbonate 4.2% infusion 500ml polyethylene bottles",21292527,"<=10","<=10"
"Sodium bicarbonate 420mg/5ml (1mmol/ml) oral solution sugar free",21310247,"20","<=10"
"Sodium bicarbonate 5% ear drops",36817713,"365","<=10"
"Sodium bicarbonate 500mg capsules",21181032,"5406","<=10"
"Sodium bicarbonate 8.4% (1mmol/ml) solution for injection 100ml bottles",21311313,"3485","<=10"
"Sodium bicarbonate 8.4% (1mmol/ml) solution for injection 10ml pre-filled syringes",36817714,"189","<=10"
"Sodium carboxymethylcellulose with silver dressing 10cm x 10cm square",21409039,"<=10","<=10"
"Sodium carboxymethylcellulose with silver dressing 15cm x 15cm square",21419278,"<=10","<=10"
"Sodium carboxymethylcellulose with silver dressing 5cm x 5cm square",21429497,"<=10","<=10"
"Sodium chloride",21253006,"<=10","6733"
"Sodium chloride",21253551,"<=10","627106"
"Sodium chloride 0.18% / Glucose 4% infusion 1litre bags",21236798,"401","<=10"
"Sodium chloride 0.45% / Glucose 2.5% infusion 500ml bags",21273860,"513","<=10"
"Sodium chloride 0.45% / Glucose 5% infusion 500ml bags",21180648,"60","<=10"
"Sodium chloride 0.45% infusion 500ml bags",21180618,"131","<=10"
"Sodium chloride 0.9% / Glucose 5% infusion 1litre bags",21273889,"1329","<=10"
"Sodium chloride 0.9% catheter maintenance solution",21236917,"<=10","<=10"
"Sodium chloride 0.9% eye drops",21311401,"<=10","642"
"Sodium chloride 0.9% eye drops 0.5ml unit dose preservative free",36817722,"18","<=10"
"Sodium chloride 0.9% infusion 1litre polyethylene bottles",21236850,"349340","<=10"
"Sodium chloride 0.9% inhalation solution 2.5ml vials",40689628,"<=10","<=10"
"Sodium chloride 0.9% irrigation solution 150ml bottles",21235533,"476","<=10"
"Sodium chloride 0.9% nasal drops",21181024,"60","<=10"
"Sodium chloride 0.9% nebuliser liquid 2.5ml unit dose ampoules",21272724,"39","<=10"
"Sodium chloride 0.9% solution",21255181,"454","109"
"Sodium chloride 0.9% solution for injection 10ml ampoules",21199846,"113451","<=10"
"Sodium chloride 1.8% infusion 500ml polyethylene bottles",21273854,"411","<=10"
"Sodium chloride 2.7% infusion 500ml polyethylene bottles",21292525,"93","<=10"
"Sodium chloride 3% inhalation solution 4ml ampoules",21217191,"45","<=10"
"Sodium chloride 30% solution for injection 10ml ampoules",21179595,"1950","<=10"
"Sodium chloride 7% inhalation solution 4ml vials",21235547,"24966","<=10"
"Sodium chloride 7% nebuliser liquid 5ml ampoules",21179575,"252","<=10"
"Sodium citrate",21253618,"<=10","44"
"Sodium citrate 441.17mg/5ml oral solution",21310188,"27","<=10"
"Sodium citrate compound 5ml enema",40689472,"126","<=10"
"Sodium clodronate 400mg capsules",21199698,"<=10","<=10"
"Sodium cromoglicate 100mg capsules",21218378,"415","<=10"
"Sodium cromoglicate 2% eye drops",21311732,"534","1648"
"Sodium cromoglicate 5mg/dose inhaler CFC free",21291697,"57","<=10"
"Sodium dihydrogen phosphate anhydrous 1.936g effervescent tablets",40689461,"18189","17906"
"Sodium dihydrogen phosphate dihydrate 18.1% / Disodium hydrogen phosphate dodecahydrate 8% 133ml enema",21236875,"2349","<=10"
"Sodium dihydrogen phosphate dihydrate 542mg/ml / Disodium hydrogen phosphate dodecahydrate 240mg/ml oral solution sugar free",21311156,"<=10","<=10"
"Sodium feredetate",21290802,"<=10","309"
"Sodium fluoride 0.37% oral drops sugar free",21199618,"<=10","<=10"
"Sodium fluoride 0.619% dental paste sugar free",36817746,"267","<=10"
"Sodium fluoride 1.1% dental paste sugar free",21199064,"167","<=10"
"Sodium fusidate 2% ointment",21274386,"<=10","<=10"
"Sodium fusidate 250mg tablets",21218407,"228","<=10"
"Sodium glycerophosphate",21179107,"<=10","2831"
"Sodium glycerophosphate-containing product",4217562,"<=10","<=10"
"Sodium glycerophosphate 2.16g/10ml solution for infusion ampoules",21254111,"<=10","<=10"
"Sodium glycerophosphate 4.32g/20ml solution for infusion vials",36817749,"3438","<=10"
"Sodium hyaluronate",21253681,"<=10","<=10"
"Sodium hyaluronate 0.1% eye drops",21198279,"183","28"
"Sodium hyaluronate 0.1% eye drops preservative free",21199074,"3125","<=10"
"Sodium hyaluronate 0.15% / Trehalose 3% eye drops preservative free",40689437,"<=10","124"
"Sodium hyaluronate 0.15% eye drops",21254437,"85","4014"
"Sodium hyaluronate 0.15% eye drops 0.3ml unit dose preservative free",21198486,"<=10","<=10"
"Sodium hyaluronate 0.2% eye drops",21217303,"305","15514"
"Sodium hyaluronate 0.2% eye drops 0.4ml unit dose preservative free",21254380,"<=10","<=10"
"Sodium hyaluronate 0.2% eye drops preservative free",21198526,"1080","146"
"Sodium hyaluronate 0.4% eye drops preservative free",21272625,"<=10","12"
"Sodium lactate",21309519,"<=10","107809"
"Sodium lactate compound (Hartmann's Solution) infusion 1litre bags",21311171,"137947","<=10"
"Sodium nitroprusside",21309663,"<=10","866"
"Sodium nitroprusside 50mg powder for solution for infusion vials",21180674,"21","<=10"
"Sodium phenylbutyrate-containing product",4212827,"<=10","50"
"Sodium phenylbutyrate 2g/10ml solution for infusion ampoules",21199034,"109","<=10"
"Sodium phenylbutyrate 500mg tablets",21236657,"18","<=10"
"Sodium phosphate dibasic 2.875g/500ml / Monopotassium phosphate 647.5mg/500ml (potassium 9.5mmol/500ml) infusion 500ml polyethylene bottles",21180215,"5572","11671"
"Sodium picosulfate",21253543,"<=10","222"
"Sodium stibogluconate 10g/100ml solution for infusion vials",21273880,"39","<=10"
"Sodium tetradecyl sulfate 1% solution for injection 2ml ampoules",21292593,"<=10","<=10"
"Sodium tetradecyl sulfate 3% solution for injection 2ml ampoules",21180746,"<=10","<=10"
"Sodium thiosulphate",21253716,"<=10","30"
"Sodium valproate",21271626,"<=10","14"
"Sodium valproate",21309664,"<=10","12798"
"Sodium valproate 100mg tablets",21181066,"190","<=10"
"Sodium valproate 1g modified-release granules sachets sugar free",21199033,"<=10","<=10"
"Sodium valproate 200mg gastro-resistant tablets",21218585,"1276","<=10"
"Sodium valproate 200mg modified-release tablets",21237079,"862","<=10"
"Sodium valproate 200mg/5ml oral solution",36817755,"<=10","<=10"
"Sodium valproate 200mg/5ml oral solution sugar free",36817756,"2480","<=10"
"Sodium valproate 250mg modified-release granules sachets sugar free",21198643,"<=10","<=10"
"Sodium valproate 300mg modified-release capsules",21254821,"<=10","<=10"
"Sodium valproate 300mg modified-release tablets",21311621,"1328","<=10"
"Sodium valproate 400mg/4ml solution for injection ampoules",21179458,"1079","<=10"
"Sodium valproate 500mg gastro-resistant tablets",21292944,"638","<=10"
"Sodium valproate 500mg modified-release tablets",21274277,"1359","<=10"
"Sodium valproate 50mg modified-release granules sachets sugar free",21179803,"105","<=10"
"Sodium valproate 750mg modified-release granules sachets sugar free",21198644,"32","<=10"
"Solifenacin",21197745,"<=10","5456"
"Solifenacin-containing product",4234058,"<=10","<=10"
"Solifenacin 10mg tablets",21311028,"902","<=10"
"Solifenacin 1mg/ml oral suspension sugar free",36817767,"<=10","<=10"
"Solifenacin 5mg tablets",21180468,"2811","<=10"
"Solifenacin 6mg / Tamsulosin 400microgram modified-release tablets",21179442,"<=10","<=10"
"Somatropin",21272167,"<=10","231"
"Somatropin-containing product",4032209,"<=10","18"
"Somatropin (epr) 15mg/1.5ml solution for injection cartridges",36817770,"<=10","<=10"
"Somatropin (epr) 5mg/1.5ml solution for injection cartridges",36817771,"<=10","<=10"
"Somatropin (epr) 5mg/1.5ml solution for injection pre-filled disposable devices",21272579,"36","<=10"
"Somatropin (rbe) 1.2mg powder and solvent for solution for injection pre-filled disposable devices",36817773,"<=10","<=10"
"Somatropin (rbe) 1.6mg powder and solvent for solution for injection pre-filled disposable devices",36817776,"<=10","<=10"
"Somatropin (rbe) 10mg/1.5ml solution for injection cartridges",21310367,"<=10","<=10"
"Somatropin (rbe) 200microgram powder and solvent for solution for injection pre-filled disposable devices",36817779,"<=10","<=10"
"Somatropin (rbe) 5.3mg powder and solvent for solution for injection cartridges",21255430,"<=10","<=10"
"Somatropin (rmc) 12mg/1.5ml solution for injection cartridges",21291510,"<=10","<=10"
"Sorafenib",21197934,"<=10","<=10"
"Sorafenib 200mg tablets",21273446,"22","<=10"
"Sotalol",21272168,"<=10","647"
"Sotalol 40mg tablets",21293014,"458","<=10"
"Sotalol 80mg tablets",21181129,"91","<=10"
"Soya oil 82.95% / lauromacrogols 15% bath oil",21368511,"<=10","11"
"Spacer/holding chamber device",21470351,"61","<=10"
"Spacer/holding chamber device with mask",21337781,"<=10","<=10"
"Spironolactone",21197746,"<=10","10889"
"Spironolactone 100mg tablets",21218663,"624","<=10"
"Spironolactone 100mg/5ml oral suspension",21292238,"<=10","<=10"
"Spironolactone 25mg tablets",21255730,"5778","<=10"
"Spironolactone 25mg/5ml oral suspension",21217871,"<=10","<=10"
"Spironolactone 50mg tablets",21181126,"337","<=10"
"Spironolactone 50mg/5ml oral suspension",21180311,"<=10","<=10"
"Starch maize powder",21292981,"<=10","<=10"
"Sterimar 31.8% isotonic nasal spray",21471930,"774","<=10"
"Sterimar Baby 31.8% isotonic nasal spray",21360722,"<=10","<=10"
"Stiripentol 250mg oral powder sachets",21235850,"30","<=10"
"Stiripentol 500mg oral powder sachets",21217366,"72","<=10"
"Strontium ranelate",21179110,"<=10","55"
"Sucralfate",21234971,"<=10","2176"
"Sucralfate 1g tablets",21237042,"303","<=10"
"Sucralfate 1g/5ml oral suspension sugar free",21274250,"1191","<=10"
"Sucroferric oxyhydroxide",21216721,"<=10","156"
"Sugammadex",21253746,"<=10","<=10"
"Sugammadex 200mg/2ml solution for injection vials",21273010,"1718","<=10"
"Sulfadiazine 500mg tablets",21236801,"376","<=10"
"Sulfadiazine silver",21178981,"<=10","21"
"Sulfadiazine silver 1% cream",21274110,"46","1358"
"Sulfasalazine",21197747,"<=10","1278"
"Sulfasalazine 250mg/5ml oral suspension sugar free",21235704,"<=10","<=10"
"Sulfasalazine 500mg gastro-resistant tablets",21181109,"335","<=10"
"Sulfasalazine 500mg tablets",21274330,"154","<=10"
"Sulfur hexafluoride 8microlitres/ml powder and solvent for dispersion for injection vials",21180455,"<=10","<=10"
"Sulpiride",21290805,"<=10","183"
"Sulpiride 200mg tablets",21237045,"267","<=10"
"Sulpiride 200mg/5ml oral solution sugar free",36817830,"25","<=10"
"Sulpiride 400mg tablets",21237046,"56","<=10"
"Sultiame 50mg tablets",21199356,"40","<=10"
"Sumatriptan",21197748,"<=10","861"
"Sumatriptan 100mg tablets",21274333,"21","<=10"
"Sumatriptan 10mg/0.1ml nasal spray unit dose",21218187,"<=10","<=10"
"Sumatriptan 200mg/ml nasal spray 0.1ml unit dose",21311438,"<=10","<=10"
"Sumatriptan 50mg tablets",21292999,"274","<=10"
"Sumatriptan 6mg/0.5ml solution for injection pre-filled disposable devices",21198468,"<=10","<=10"
"Sumatriptan 6mg/0.5ml solution for injection pre-filled syringes with device",21236761,"42","<=10"
"Sunitinib 25mg capsules",21254843,"<=10","<=10"
"Suxamethonium",21216605,"<=10","<=10"
"Suxamethonium chloride 100mg/2ml solution for injection ampoules",36817832,"65","<=10"
"Sylk vaginal moisturiser",21359562,"<=10","<=10"
"Symphytum officinale 6c homeopathic tablets",21199419,"<=10","<=10"
"Systane Balance eye drops",21401361,"51","<=10"
"Systane Ultra eye drops",21339881,"<=10","<=10"
"T-Safe 380A QL intrauterine contraceptive device",21388824,"<=10","<=10"
"Tacrolimus",21197185,"<=10","14009"
"Tacrolimus",21216448,"<=10","8272"
"Tacrolimus-containing product",4030957,"<=10","78"
"Tacrolimus 0.03% ointment",21199744,"20","<=10"
"Tacrolimus 0.1% ointment",21292780,"143","71"
"Tacrolimus 1mg capsules",21181052,"751","<=10"
"Tacrolimus 1mg granules sachets sugar free",21310243,"31","<=10"
"Tacrolimus 1mg modified-release capsules",21254806,"106","<=10"
"Tacrolimus 1mg modified-release tablets",21235389,"<=10","<=10"
"Tacrolimus 2mg capsules",21216917,"<=10","<=10"
"Tacrolimus 3mg modified-release capsules",21291618,"<=10","<=10"
"Tacrolimus 4mg modified-release tablets",21254001,"28","<=10"
"Tacrolimus 500microgram capsules",21199895,"1125","<=10"
"Tacrolimus 500microgram modified-release capsules",21292073,"15","<=10"
"Tacrolimus 5mg capsules",21181053,"247","<=10"
"Tacrolimus 5mg/1ml solution for infusion ampoules",36817848,"421","<=10"
"Tadalafil",21253545,"<=10","22"
"Tadalafil-containing product",4250143,"<=10","<=10"
"Tadalafil 10mg tablets",21292663,"<=10","<=10"
"Tadalafil 20mg tablets",21218312,"47","<=10"
"Tadalafil 5mg tablets",21179762,"26","<=10"
"Tafamidis 61mg capsules",36081198,"<=10","22"
"Tafluprost",21272393,"<=10","62"
"Tafluprost-containing product",45771433,"<=10","66"
"Tafluprost 15micrograms/ml / Timolol 5mg/ml eye drops 0.3ml unit dose preservative free",21198166,"13","23"
"Tafluprost 15micrograms/ml eye drops",21179665,"<=10","16"
"Tafluprost 15micrograms/ml eye drops 0.3ml unit dose preservative free",21291599,"<=10","<=10"
"Tamoxifen",21178938,"<=10","609"
"Tamoxifen 10mg tablets",21293044,"39","<=10"
"Tamoxifen 20mg tablets",21237178,"263","<=10"
"Tamsulosin",21309518,"<=10","14317"
"Tamsulosin 400microgram modified-release tablets",21236290,"<=10","<=10"
"Tapentadol",21197455,"<=10","<=10"
"Tapentadol",21253769,"<=10","241"
"Tapentadol-containing product",40481405,"<=10","26"
"Tapentadol 100mg modified-release tablets",21235633,"<=10","<=10"
"Tapentadol 200mg modified-release tablets",21198478,"<=10","<=10"
"Tapentadol 50mg modified-release tablets",21310179,"234","<=10"
"Tapentadol 50mg tablets",21217172,"73","<=10"
"Tapentadol hydrochloride",21216145,"<=10","58"
"TauroLock catheter lock solution 5ml ampoules",40686752,"77","<=10"
