"condition_concept_name","condition_concept_id","UCLH","UHB"
"Perforation of gallbladder",45543350,"<=10","44"
"Perforation of intestine",193242,"103","91"
"Perforation of intestine (nontraumatic)",45576998,"<=10","136"
"Perforation of large intestine",4119306,"<=10","<=10"
"Perforation of nasal septum",4196640,"24","<=10"
"Perforation of oesophagus",45557646,"36","22"
"Perforation of sigmoid colon",46273185,"11","<=10"
"Perforation of small intestine",4341631,"<=10","<=10"
"Perforation of stomach",4340781,"<=10","<=10"
"Perforation of trachea",4317141,"<=10","<=10"
"Perforation of tympanic membrane",375292,"32","<=10"
"Perforation of tympanic membrane, unspecified",45562318,"29","19"
"Perforation of uterus",4252406,"<=10","<=10"
"Perforation of uterus caused by intrauterine contraceptive device",4128535,"<=10","<=10"
"Perianal abscess",199861,"473","215"
"Perianal Crohn's disease",4340812,"278","<=10"
"Perianal fistula",4241349,"14","<=10"
"Perianal infection",4059152,"<=10","<=10"
"Perianal lump",4115862,"<=10","<=10"
"Perianal pain",4145869,"<=10","<=10"
"Perianal venous thrombosis",45567321,"<=10","<=10"
"Periapical abscess",4025325,"19","<=10"
"Periapical abscess with sinus",45576969,"<=10","<=10"
"Periapical abscess with sinus tract",133803,"<=10","<=10"
"Periapical abscess without sinus",45586692,"<=10","116"
"Periauricular abscess",40482954,"<=10","<=10"
"Pericardial cyst",43530781,"<=10","<=10"
"Pericardial effusion",4161701,"98","<=10"
"Pericardial effusion (noninflammatory)",45586577,"732","679"
"Pericardial effusion co-occurrent and due to malignant neoplasm of pericardium",4231817,"<=10","<=10"
"Pericarditis",4138837,"131","34"
"Pericarditis in other diseases classified elsewhere",45605793,"20","<=10"
"Perichondritis",4291786,"<=10","<=10"
"Perichondritis of external ear",45581719,"<=10","<=10"
"Perichondritis of pinna",136710,"<=10","<=10"
"Pericoronitis",4329836,"169","<=10"
"Perifolliculitis",4308105,"<=10","<=10"
"Perifolliculitis capitis abscedens et suffodiens",4298208,"<=10","<=10"
"Perimembranous ventricular septal defect",4031264,"<=10","<=10"
"Perimenopausal disorder",4141640,"<=10","<=10"
"Perimenopausal state",45757505,"<=10","<=10"
"Perinatal depression",36712668,"<=10","<=10"
"Perinatal transient vaginal bleeding",4048607,"<=10","<=10"
"Perineal hematoma during delivery",4307825,"<=10","<=10"
"Perineal hernia",4212562,"<=10","<=10"
"Perineal laceration during delivery",439390,"<=10","<=10"
"Perineal laceration during delivery, unspecified",45548829,"14","<=10"
"Perineal laceration involving fourchette",4187920,"<=10","<=10"
"Perineal pain",4021670,"<=10","86"
"Perineal sinus",4154595,"<=10","<=10"
"Perineal wound dehiscence",4201474,"<=10","<=10"
"Perinephritis",4006319,"<=10","<=10"
"Perineural cyst",4218724,"41","<=10"
"Perineurioma",4300678,"<=10","<=10"
"Periodic breathing",45544129,"<=10","<=10"
"Periodic limb movement disorder",4305841,"22","<=10"
"Periodic paralysis",45566901,"<=10","<=10"
"Periodontal abscess",4308123,"<=10","<=10"
"Periodontal disease",134398,"81","<=10"
"Periodontal disease, unspecified",45605913,"33","<=10"
"Periodontal pocket",4033622,"<=10","<=10"
"Periodontitis",141608,"<=10","<=10"
"Periodontosis",45562477,"<=10","<=10"
"Periostitis of ankle AND/OR foot",437080,"<=10","<=10"
"Peripheral angiopathy due to diabetes mellitus",4131908,"<=10","<=10"
"Peripheral angiopathy in diseases classified elsewhere",45581816,"32","12"
"Peripheral arterial occlusive disease",317309,"<=10","<=10"
"Peripheral arteriovenous malformation",45539270,"16","35"
"Peripheral axonal neuropathy",4134580,"<=10","<=10"
"Peripheral demyelinating neuropathy",4050856,"<=10","<=10"
"Peripheral edema",4158343,"55","<=10"
"Peripheral motor neuropathy",4319472,"<=10","<=10"
"Peripheral nerve disease",4117779,"160","<=10"
"Peripheral nerve entrapment syndrome",4164436,"<=10","<=10"
"Peripheral neuroectodermal tumor",4100557,"<=10","<=10"
"Peripheral neurogenic pain",4089267,"<=10","<=10"
"Peripheral neuropathic pain",4089698,"50","<=10"
"Peripheral neuropathy due to and following antineoplastic therapy",35624758,"<=10","<=10"
"Peripheral neuropathy due to type 2 diabetes mellitus",43530689,"<=10","<=10"
"Peripheral retinal degeneration",437267,"<=10","<=10"
"Peripheral retinal degeneration",45596075,"<=10","<=10"
"Peripheral T-cell lymphoma (clinical)",434881,"130","<=10"
"Peripheral T-cell lymphoma, not elsewhere classified",45571560,"223","15"
"Peripheral vascular disease",321052,"470","116"
"Peripheral vascular disease with rest pain",4325344,"<=10","<=10"
"Peripheral vascular disease, unspecified",45552846,"<=10","1354"
"Peripheral venous insufficiency",321596,"17","<=10"
"Peripheral vertigo",78162,"<=10","<=10"
"Peripherally inserted central venous catheter in situ",42872380,"27","<=10"
"Periprosthetic fracture",40479594,"16","<=10"
"Periprosthetic fracture of hip",46270166,"<=10","<=10"
"Perirenal abscess",4216208,"<=10","<=10"
"Peristomal abscess",4341362,"<=10","<=10"
"Peritoneal adhesion",195581,"21","<=10"
"Peritoneal adhesions",45605949,"1068","551"
"Peritonitis",196152,"31","31"
"Peritonitis, unspecified",45548168,"62","145"
"Peritonsillar abscess",440751,"180","104"
"Peritonsillar abscess",45581858,"<=10","51"
"Peritonsillar cellulitis",4010826,"<=10","<=10"
"Permanent atrial fibrillation",4232691,"18","<=10"
"Permanent nystagmus",4319610,"<=10","<=10"
"Pernicious anemia",432295,"56","<=10"
"Peroneal tendinitis",4180849,"<=10","<=10"
"Peroneal tendinitis",45553268,"<=10","<=10"
"Peroneal tenosynovitis",37017560,"<=10","<=10"
"Perseveration",4195445,"<=10","<=10"
"Persistent alcohol abuse",4109691,"<=10","<=10"
"Persistent atrial fibrillation",4232697,"68","<=10"
"Persistent atrial fibrillation",45548021,"115","238"
"Persistent breast nodularity",4199934,"<=10","<=10"
"Persistent cloaca",4253536,"15","<=10"
"Persistent cloaca",45606740,"<=10","<=10"
"Persistent cough",4109381,"<=10","<=10"
"Persistent delusional disorder",4335168,"<=10","<=10"
"Persistent delusional disorder, unspecified",45542837,"<=10","<=10"
"Persistent femoral anteversion",4067863,"<=10","<=10"
"Persistent flow of blood into graft of aorta",43021843,"<=10","<=10"
"Persistent hyperplasia of thymus",45537968,"11","<=10"
"Persistent left superior vena cava",4301483,"<=10","<=10"
"Persistent left superior vena cava",45587452,"<=10","<=10"
"Persistent mood [affective] disorder, unspecified",45600741,"<=10","11"
"Persistent ostium secundum",4070789,"<=10","<=10"
"Persistent preputial frenulum",4129893,"<=10","<=10"
"Persistent primary vitreous",4289145,"<=10","<=10"
"Persistent proteinuria, unspecified",45606491,"<=10","<=10"
"Persistent pulmonary hypertension of the newborn",4121462,"<=10","<=10"
"Persistent sinus bradycardia",4258998,"<=10","<=10"
"Persistent somatoform pain disorder",45605498,"26","<=10"
"Persistent urogenital sinus",4034188,"13","<=10"
"Persistent vomiting",27321,"<=10","<=10"
"Person awaiting admission to adequate facility elsewhere",45595542,"<=10","887"
"Person encountering health services in unspecified circumstances",45609967,"<=10","<=10"
"Person injured in other specified noncollision transport accidents involving motor vehicle (traffic)",45575835,"<=10","<=10"
"Person injured in unspecified motor-vehicle accident, traffic",45561324,"<=10","<=10"
"Person injured in unspecified nonmotor-vehicle accident, nontraffic",45756193,"<=10","<=10"
"Person injured while boarding or alighting from railway train or railway vehicle",45595148,"<=10","<=10"
"Person injured while boarding or alighting from streetcar",45561307,"<=10","<=10"
"Person on outside of special agricultural vehicle injured in nontraffic accident",45537307,"<=10","<=10"
"Person on outside of special construction vehicle injured in nontraffic accident",45756159,"<=10","<=10"
"Person with feared complaint in whom no diagnosis is made",45542450,"<=10","<=10"
"Personal frightening experience in childhood",45600340,"<=10","<=10"
"Personal history finding",4143884,"<=10","<=10"
"Personal history of allergy to anaesthetic agent",45605167,"355","<=10"
"Personal history of allergy to analgesic agent",45561668,"7669","260"
"Personal history of allergy to narcotic agent",45566471,"6226","123"
"Personal history of allergy to other anti-infective agents",45552131,"2062","<=10"
"Personal history of allergy to other antibiotic agents",45542478,"9755","496"
"Personal history of allergy to other drugs, medicaments and biological substances",45547363,"19909","370"
"Personal history of allergy to penicillin",45561667,"<=10","4302"
"Personal history of allergy to sulfonamides",45556871,"1466","<=10"
"Personal history of allergy, other than to drugs and biological substances",45585876,"<=10","124"
"Personal history of certain conditions arising in the perinatal period",45581084,"57","13"
"Personal history of chemotherapy for neoplastic disease",45756533,"<=10","3241"
"Personal history of complications of pregnancy, childbirth and the puerperium",45600366,"729","161"
"Personal history of congenital malformations, deformations and chromosomal abnormalities",45556869,"583","242"
"Personal history of contraception",45605174,"94","45"
"Personal history of diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism",45556866,"<=10","69"
"Personal history of diseases of the circulatory system",45576199,"16990","10630"
"Personal history of diseases of the digestive system",45542474,"<=10","2582"
"Personal history of diseases of the genitourinary system",45552125,"6397","1329"
"Personal history of diseases of the musculoskeletal system and connective tissue",45600364,"<=10","371"
"Personal history of diseases of the nervous system and sense organs",45581082,"3996","3732"
"Personal history of diseases of the respiratory system",45571398,"3006","444"
"Personal history of diseases of the skin and subcutaneous tissue",45547361,"<=10","149"
"Personal history of endocrine, nutritional and metabolic diseases",45585865,"648","173"
"Personal history of irradiation",45561672,"12802","2425"
"Personal history of leukaemia",45609980,"562","129"
"Personal history of long-term (current) use of anticoagulants",45600378,"15900","12316"
"Personal history of long-term (current) use of other medicaments",45566476,"<=10","4176"
"Personal history of major surgery, not elsewhere classified",45552142,"<=10","28"
"Personal history of malignant neoplasm of breast",45547353,"3816","1785"
"Personal history of malignant neoplasm of digestive organs",45542467,"3267","1726"
"Personal history of malignant neoplasm of genital organs",45556861,"5023","1356"
"Personal history of malignant neoplasm of other respiratory and intrathoracic organs",45542470,"<=10","155"
"Personal history of malignant neoplasm of trachea, bronchus and lung",45552120,"<=10","451"
"Personal history of malignant neoplasm of urinary tract",45556863,"1563","917"
"Personal history of malignant neoplasm, unspecified",45585864,"15","<=10"
"Personal history of malignant neoplasms of other organs and systems",45576195,"<=10","2357"
"Personal history of noncompliance with medical treatment and regimen",45542491,"1458","1051"
"Personal history of other malignant neoplasms of lymphoid, haematopoietic and related tissues",45576194,"1134","367"
"Personal history of other mental and behavioural disorders",45552124,"<=10","129"
"Personal history of other neoplasms",45590763,"<=10","729"
"Personal history of other physical trauma",45566475,"836","148"
"Personal history of other specified conditions",45605166,"<=10","623"
"Personal history of other specified risk-factors, not elsewhere classified",45595561,"<=10","32"
"Personal history of poor personal hygiene",45576215,"16","<=10"
"Personal history of psychoactive substance abuse",45552123,"20856","12583"
"Personal history of psychological trauma, not elsewhere classified",45590771,"<=10","<=10"
"Personal history of rehabilitation measures",45537700,"<=10","<=10"
"Personal history of self-harm",45605173,"<=10","1829"
"Personal history of unhealthy sleep-wake schedule",45590770,"21","<=10"
"Personality change due to organic disorder",44782790,"<=10","<=10"
"Personality disorder",441838,"163","31"
"Personality disorder, unspecified",45538076,"190","256"
"Persons encountering health services in other specified circumstances",45542457,"<=10","<=10"
"Pertrochanteric fracture, closed",45755957,"82","549"
"Pertrochanteric fracture, open",45755958,"<=10","<=10"
"Pertussis",257778,"11","<=10"
"Pervasive developmental disorder, unspecified",45600763,"<=10","<=10"
"Pes cavus",45548919,"<=10","<=10"
"Petechiae",4155911,"<=10","<=10"
"Petechiae of skin",4308009,"<=10","<=10"
"Petit-mal epilepsy",44801879,"30","<=10"
"Petit mal status epilepticus",45591176,"<=10","<=10"
"Petit mal, unspecified, without grand mal seizures",45581488,"<=10","<=10"
"Petrositis",45543126,"<=10","<=10"
"PFAPA syndrome",37397178,"<=10","<=10"
"Phakomatosis, unspecified",45592396,"<=10","<=10"
"Phantom limb syndrome with pain",45605564,"29","12"
"Phantom limb syndrome with pain",45773181,"<=10","<=10"
"Phantom pain",46271848,"<=10","<=10"
"Pharyngeal dysphagia",45757559,"<=10","<=10"
"Pharyngeal gag reflex finding",4181987,"<=10","<=10"
"Pharyngeal pouch",45534377,"30","18"
"Pharyngeal spasm",4049233,"23","<=10"
"Pharyngeal stenosis",4049234,"<=10","<=10"
"Pharyngitis",4226263,"19","<=10"
"Pheochromocytoma",4118993,"51","<=10"
"Philadelphia chromosome-negative precursor B-cell acute lymphoblastic leukemia",37017893,"43","<=10"
"Philadelphia chromosome-positive acute lymphoblastic leukemia",4138008,"109","<=10"
"Phimosis",42709954,"83","<=10"
"Phlebitis",318174,"<=10","<=10"
"Phlebitis and thrombophlebitis of femoral vein",45543220,"<=10","45"
"Phlebitis and thrombophlebitis of lower extremities, unspecified",45572137,"23","29"
"Phlebitis and thrombophlebitis of other deep vessels of lower extremities",45567230,"<=10","562"
"Phlebitis and thrombophlebitis of other sites",45601087,"<=10","115"
"Phlebitis and thrombophlebitis of superficial vessels of lower extremities",45576919,"71","34"
"Phlebitis and thrombophlebitis of unspecified site",45543227,"<=10","34"
"Phlebitis of superficial veins of lower extremity",438452,"<=10","<=10"
"Phobia",440985,"<=10","<=10"
"Phobic anxiety disorder of childhood",45562067,"<=10","<=10"
"Phobic anxiety disorder, unspecified",45542848,"<=10","<=10"
"Phoria",381870,"<=10","<=10"
"Photodermatitis",4331304,"<=10","<=10"
"Photogenic epilepsy",4316060,"<=10","<=10"
"Photophobia",4260194,"<=10","<=10"
"Photosensitivity",4234104,"<=10","<=10"
"Phototherapy complication",4020010,"<=10","<=10"
"Phrenic nerve lesion",4079019,"11","<=10"
"Phyllodes tumor of breast",37016850,"13","<=10"
"Physical abuse",45594864,"<=10","<=10"
"Physical aggression",4085332,"<=10","64"
"Physical deconditioning",37016282,"28","<=10"
"Physical violence",45577795,"<=10","<=10"
"Physiological striae",4067073,"<=10","<=10"
"Picking own skin",4109659,"<=10","<=10"
"Pigment dispersion syndrome",4189719,"<=10","<=10"
"Pigmentary glaucoma",436975,"<=10","<=10"
"Pigmentary pallidal degeneration",4106888,"<=10","<=10"
"Pigmented hairy epidermal nevus",4201901,"<=10","<=10"
"Pigmented purpuric dermatosis",45605998,"<=10","<=10"
"Pigmented purpuric lichenoid dermatitis of Gougerot and Blum",4067764,"<=10","<=10"
"Pigmented villonodular synovitis",81382,"<=10","<=10"
"Pilar cyst of scalp",4268423,"<=10","<=10"
"Pill rolling",4008894,"<=10","<=10"
"Pilocytic astrocytoma",35607972,"20","<=10"
"Pilomatrixoma",4166153,"<=10","<=10"
"Pilonidal abscess of natal cleft",4197879,"13","<=10"
"Pilonidal cyst",4165681,"<=10","<=10"
"Pilonidal cyst with abscess",45533631,"<=10","147"
"Pilonidal cyst without abscess",45581935,"<=10","15"
"Pilonidal disease",4333068,"18","<=10"
"Pineal germ cell tumor",4173828,"<=10","<=10"
"Pinguecula",376124,"<=10","<=10"
"Pins and needles",4266682,"<=10","<=10"
"Piriformis syndrome",4044021,"<=10","<=10"
"Pitting edema",4109678,"<=10","<=10"
"Pituitary-dependent Cushing disease",45586151,"22","<=10"
"Pituitary adenoma",4116211,"52","<=10"
"Pituitary adenoma with extrasellar extension",4034989,"<=10","<=10"
"Pituitary apoplexy",4129534,"<=10","<=10"
"Pituitary cyst",4028799,"<=10","<=10"
"Pituitary dependent hypercortisolism",4096185,"29","<=10"
"Pituitary gland enlarged",4034988,"<=10","<=10"
"Pituitary hemorrhage",4129535,"<=10","<=10"
"Pituitary macroadenoma",4110888,"61","<=10"
"Pituitary macroadenoma with extrasellar extension",4139634,"<=10","<=10"
"Pituitary mass",4129540,"<=10","<=10"
"Pituitary mesoadenoma",4114195,"<=10","<=10"
"Pituitary microadenoma",4116213,"<=10","<=10"
"Pityriasis",135615,"<=10","<=10"
"Pityriasis alba",45572270,"<=10","<=10"
"Pityriasis lichenoides chronica",45577037,"<=10","<=10"
"Pityriasis lichenoides et varioliformis acuta",45572272,"<=10","<=10"
"Pityriasis rosea",141371,"26","<=10"
"Pityriasis rosea",45538573,"<=10","<=10"
"Pityriasis rubra pilaris",45601223,"<=10","<=10"
"Pityriasis versicolor",134870,"13","<=10"
"Pityriasis versicolor",45537761,"<=10","<=10"
"Place of birth - finding",4181974,"<=10","<=10"
"Placenta accreta",4289303,"22","<=10"
"Placenta healthy",4122735,"<=10","<=10"
"Placenta percreta",4103298,"<=10","<=10"
"Placenta praevia specified as without haemorrhage",45534276,"<=10","<=10"
"Placenta praevia with haemorrhage",45567974,"157","<=10"
"Placenta previa",4284028,"156","<=10"
"Placenta previa marginalis",4269793,"<=10","<=10"
"Placenta previa partialis",4081720,"<=10","<=10"
"Placenta previa with hemorrhage - not delivered",200149,"15","<=10"
"Placenta succenturiata",4219897,"<=10","<=10"
"Placental abnormality",4014718,"14","<=10"
"Placental abnormality, antepartum",42872400,"<=10","<=10"
"Placental abruption",198488,"<=10","<=10"
"Placental abruption - delivered",193539,"<=10","<=10"
"Placental abruption - not delivered",201350,"<=10","<=10"
"Placental condition affecting management of mother",200784,"<=10","<=10"
"Placental disorder, unspecified",45553565,"<=10","<=10"
"Placental insufficiency",4034100,"<=10","<=10"
"Placental insufficiency affecting management of mother",4134724,"<=10","<=10"
"Placental transfusion syndromes",45597006,"18","<=10"
"Plain X-ray hip joint abnormal",4056705,"<=10","<=10"
"Plain X-ray result abnormal",4058779,"<=10","<=10"
"Planned procedure",4226140,"<=10","<=10"
"Plantar fascial fibromatosis",134460,"<=10","<=10"
"Plantar fascial fibromatosis",45553265,"<=10","21"
"Plantar fasciitis",4002650,"40","<=10"
"Plaque psoriasis",4063431,"<=10","<=10"
"Plasma cell leukaemia",45552310,"21","<=10"
"Plasma cell neoplasm",443743,"<=10","<=10"
"Plasmablastic lymphoma",37110402,"53","<=10"
"Plasmacytoma",4216139,"226","<=10"
"Plasmodium falciparum malaria, unspecified",45581172,"<=10","<=10"
"Plasmodium ovale malaria",45576274,"<=10","<=10"
"Platelet count below reference range",4190644,"47","<=10"
"Platelet disorder",4332151,"<=10","<=10"
"Platelet storage pool defect",4027376,"<=10","<=10"
"Pleomorphic adenoma of palate",40487058,"<=10","<=10"
"Pleomorphic adenoma of parotid gland",4111037,"39","<=10"
"Pleomorphic adenoma of salivary gland",40487052,"<=10","<=10"
"Pleura finding",4116786,"<=10","<=10"
"Pleural condition, unspecified",45538485,"<=10","<=10"
"Pleural effusion",254061,"1080","187"
"Pleural effusion associated with pulmonary infection",4215765,"<=10","<=10"
"Pleural effusion due to congestive heart failure",4236658,"<=10","<=10"
"Pleural effusion in conditions classified elsewhere",45586684,"97","11"
"Pleural effusion, not elsewhere classified",45605897,"3478","5423"
"Pleural empyema with no fistula",261327,"21","<=10"
"Pleural plaque",4050884,"14","<=10"
"Pleural plaque with presence of asbestos",45567277,"121","288"
"Pleural plaque without asbestos",45605898,"283","283"
"Pleural scarring",4114032,"<=10","<=10"
"Pleurisy",78786,"<=10","<=10"
"Pleurisy",45539316,"<=10","67"
"Pleuritic pain",4330445,"41","<=10"
"Plicated tongue",441896,"<=10","<=10"
"Plicated tongue",45601153,"<=10","<=10"
"Pneumocephalus",4032015,"14","<=10"
"Pneumococcal lobar pneumonia",4141619,"<=10","<=10"
"Pneumococcal meningitis",45586268,"<=10","12"
"Pneumococcal pneumonia",258785,"12","<=10"
"Pneumoconiosis due to asbestos and other mineral fibres",45581861,"<=10","102"
"Pneumoconiosis due to other dust containing silica",45533552,"<=10","<=10"
"Pneumocystosis",45566559,"<=10","20"
"Pneumocystosis pneumonia",4190647,"65","<=10"
"Pneumonia",255848,"1219","719"
"Pneumonia and influenza",256723,"<=10","<=10"
"Pneumonia due to Escherichia coli",45581848,"<=10","41"
"Pneumonia due to Gram negative bacteria",258180,"<=10","<=10"
"Pneumonia due to Haemophilus influenzae",45581846,"16","14"
"Pneumonia due to Human metapneumovirus",40482061,"22","<=10"
"Pneumonia due to Klebsiella pneumoniae",253790,"<=10","<=10"
"Pneumonia due to Klebsiella pneumoniae",45591548,"30","52"
"Pneumonia due to Mycoplasma pneumoniae",45543260,"<=10","<=10"
"Pneumonia due to other Gram-negative bacteria",45543259,"19","28"
"Pneumonia due to other specified infectious organisms",45552881,"<=10","<=10"
"Pneumonia due to other streptococci",45562441,"<=10","18"
"Pneumonia due to pleuropneumonia-like organism",4110506,"<=10","<=10"
"Pneumonia due to Pseudomonas",45543257,"<=10","65"
"Pneumonia due to staphylococcus",45591549,"<=10","43"
"Pneumonia due to Streptococcus pneumoniae",45586662,"<=10","<=10"
"Pneumonia in aspergillosis",261053,"<=10","<=10"
"Pneumonia in bacterial diseases classified elsewhere",45591551,"<=10","<=10"
"Pneumonia in mycoses",45572163,"<=10","52"
"Pneumonia in other diseases classified elsewhere",45591552,"<=10","<=10"
"Pneumonia in parasitic diseases",45548106,"36","20"
"Pneumonia in viral diseases classified elsewhere",45586663,"<=10","<=10"
"Pneumonia, unspecified",45601123,"1634","2792"
"Pneumonitis",253506,"23","<=10"
"Pneumonitis due to food and vomit",45591562,"<=10","916"
"Pneumonitis due to inhalation of vomitus",4110180,"<=10","<=10"
"Pneumonitis due to other solids and liquids",45548120,"<=10","<=10"
"Pneumoperitoneum",4065913,"<=10","<=10"
"Pneumothorax",253796,"228","<=10"
"Pneumothorax, unspecified",45591565,"<=10","225"
"Podagra",4281849,"<=10","<=10"
"POEMS syndrome",4193776,"641","<=10"
"Poisoning",442562,"318","455"
"Poisoning by and exposure to alcohol, undetermined intent, home",42504548,"<=10","<=10"
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], undetermined intent, NEC, home",42504514,"<=10","<=10"
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], undetermined intent, NEC, street and highway",42504518,"<=10","<=10"
"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], undetermined intent, NEC, unspecified place",42504523,"<=10","<=10"
"Poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, undetermined intent, home",42504492,"<=10","<=10"
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent",45756479,"<=10","<=10"
"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent, unspecified place",42504546,"<=10","<=10"
"Poisoning by autonomous nervous system drug",443915,"<=10","<=10"
"Poisoning by cannabis derivative",4035966,"<=10","<=10"
"Poisoning by central nervous system stimulant",440891,"<=10","<=10"
"Poisoning by digoxin",4015597,"<=10","<=10"
"Poisoning by drug AND/OR medicinal substance",438028,"<=10","<=10"
"Poisoning by opiate analgesic drug",4084011,"15","<=10"
"Poisoning by opiate AND/OR related narcotic",433083,"<=10","<=10"
"Poisoning by phenytoin",4326409,"<=10","<=10"
"Poisoning by vitamin D",4022082,"<=10","<=10"
"Poisoning of undetermined intent by corrosive, acid or caustic alkali",437184,"39","20"
"Poisoning: 4-Aminophenol derivatives",45599424,"254","417"
"Poisoning: Alpha-adrenoreceptor antagonists, not elsewhere classified",45609059,"<=10","<=10"
"Poisoning: Analeptics and opioid receptor antagonists",45570549,"<=10","<=10"
"Poisoning: Angiotensin-converting-enzyme inhibitors",45551240,"<=10","17"
"Poisoning: Antiallergic and antiemetic drugs",45565606,"<=10","31"
"Poisoning: Anticholinesterase agents",45536771,"<=10","<=10"
"Poisoning: Anticoagulants",45565615,"<=10","15"
"Poisoning: Antidiarrhoeal drugs",45536823,"<=10","<=10"
"Poisoning: Antiepileptic and sedative-hypnotic drugs, unspecified",45565552,"34","12"
"Poisoning: Antigonadotrophins, antiestrogens, antiandrogens, not elsewhere classified",45570372,"<=10","<=10"
"Poisoning: Antihyperlipidaemic and antiarteriosclerotic drugs",45604333,"<=10","14"
"Poisoning: Antimalarials and drugs acting on other blood protozoa",45604217,"<=10","<=10"
"Poisoning: Antineoplastic and immunosuppressive drugs",45536785,"<=10","<=10"
"Poisoning: Antiparkinsonism drugs and other central muscle-tone depressants",45565555,"<=10","<=10"
"Poisoning: Antitussives",45560826,"<=10","<=10"
"Poisoning: Antiviral drugs",45565496,"<=10","<=10"
"Poisoning: Benzodiazepines",45551182,"<=10","113"
"Poisoning: Beta-adrenoreceptor antagonists, not elsewhere classified",45599493,"<=10","40"
"Poisoning: Butyrophenone and thioxanthene neuroleptics",45560748,"<=10","<=10"
"Poisoning: Calcium-channel blockers",45575332,"<=10","15"
"Poisoning: Cannabis (derivatives)",45609021,"16","12"
"Poisoning: Carbonic-anhydrase inhibitors, benzothiadiazides and other diuretics",45594727,"<=10","<=10"
"Poisoning: Cardiac-stimulant glycosides and drugs of similar action",45575328,"<=10","<=10"
"Poisoning: Cocaine",45580100,"37","27"
"Poisoning: Coronary vasodilators, not elsewhere classified",45541583,"<=10","<=10"
"Poisoning: Digestants",45580195,"<=10","<=10"
"Poisoning: Drugs affecting uric acid metabolism",45609136,"<=10","<=10"
"Poisoning: Electrolytic, caloric and water-balance agents",45570542,"<=10","<=10"
"Poisoning: Emetics",45551264,"<=10","<=10"
"Poisoning: Expectorants",45565663,"<=10","<=10"
"Poisoning: Fibrinolysis-affecting drugs",45580174,"<=10","<=10"
"Poisoning: Glucocorticoids and synthetic analogues",45541481,"<=10","<=10"
"Poisoning: Heroin",45575244,"<=10","15"
"Poisoning: Histamine H2-receptor antagonists",45594695,"<=10","<=10"
"Poisoning: Hydantoin derivatives",45599459,"<=10","<=10"
"Poisoning: Iminostilbenes",45546372,"<=10","<=10"
"Poisoning: Insulin and oral hypoglycaemic [antidiabetic] drugs",45575225,"<=10","62"
"Poisoning: Iron and its compounds",45594674,"<=10","11"
"Poisoning: Keratolytics, keratoplastics and other hair treatment drugs and preparations",45556062,"<=10","<=10"
"Poisoning: Local antifungal, anti-infective and anti-inflammatory drugs, not elsewhere classified",45580221,"<=10","<=10"
"Poisoning: Local astringents and local detergents",45589864,"<=10","<=10"
"Poisoning: Loop [high-ceiling] diuretics",45556070,"<=10","<=10"
"Poisoning: Macrolides",45536668,"<=10","<=10"
"Poisoning: Methadone",45541515,"<=10","<=10"
"Poisoning: Mineralocorticoids and their antagonists",45599558,"<=10","<=10"
"Poisoning: Mixed antiepileptics, not elsewhere classified",45555973,"<=10","<=10"
"Poisoning: Monoamine-oxidase-inhibitor antidepressants",45604289,"<=10","<=10"
"Poisoning: Opium",45555949,"<=10","<=10"
"Poisoning: Oral contraceptives",45570368,"<=10","<=10"
"Poisoning: Other and unspecified agents primarily affecting the cardiovascular system",45536814,"<=10","<=10"
"Poisoning: Other and unspecified antidepressants",45570428,"<=10","218"
"Poisoning: Other and unspecified antipsychotics and neuroleptics",45536757,"44","108"
"Poisoning: Other and unspecified drugs primarily affecting the autonomic nervous system",45565603,"<=10","<=10"
"Poisoning: Other and unspecified drugs, medicaments and biological substances",45560860,"<=10","49"
"Poisoning: Other and unspecified hormones and their synthetic substitutes",45599418,"<=10","<=10"
"Poisoning: Other and unspecified narcotics",45565527,"52","<=10"
"Poisoning: Other and unspecified psychodysleptics [hallucinogens]",45589760,"<=10","<=10"
"Poisoning: Other antacids and anti-gastric-secretion drugs",45536819,"<=10","14"
"Poisoning: Other antidysrhythmic drugs, not elsewhere classified",45560796,"<=10","<=10"
"Poisoning: Other antiepileptic and sedative-hypnotic drugs",45594638,"<=10","127"
"Poisoning: Other antihypertensive drugs, not elsewhere classified",45541588,"<=10","15"
"Poisoning: Other estrogens and progestogens",45604234,"<=10","<=10"
"Poisoning: Other laxatives",45570498,"<=10","<=10"
"Poisoning: Other nonopioid analgesics and antipyretics, not elsewhere classified",45555947,"<=10","<=10"
"Poisoning: Other nonsteroidal anti-inflammatory drugs [NSAID]",45546336,"30","83"
"Poisoning: Other opioids",45570389,"<=10","225"
"Poisoning: Other parasympatholytics [anticholinergics and antimuscarinics] and spasmolytics, not elsewhere classified",45556007,"<=10","<=10"
"Poisoning: Other primarily systemic and haematological agents",45536803,"<=10","<=10"
"Poisoning: Other psychotropic drugs, not elsewhere classified",45604299,"<=10","<=10"
